furniture-10030001,かぼちゃクマさん
furniture-20000314,一回引っ張ると点灯し、もう一回引っ張ると更に明るくなり、力いっぱい引っ張るとひもがちぎれ、二度と消せなくなる。
furniture-10000315,新世界(I)-窓
furniture-20000315,本部に不審者が入り込む心配はそれほどないが、木の板で窓を塞ぐのは、この末世でも行われる伝統儀式となっている。
furniture-10000401,オータム-ガールズベッド
furniture-20000401,ふんわり温かい感じのベッド。大きなウサギのぬいぐるみ付きで、戦術少女たちに大人気。
furniture-10000402,オータム-厚地のウール絨毯
furniture-20000402,白くてふかふかのウール絨毯。素足で上がると幸せな気持ちになる。
furniture-10000403,オータム-赤いソファ(左)
furniture-20000403,コンパクトな一人掛けソファ。多少の傷や汚れはあるけれど、柔らかい座り心地が素晴らしい。
furniture-10000404,オータム-赤いソファ(右)
furniture-20000404,コンパクトな一人掛けソファ。多少の傷や汚れはあるけれど、柔らかい座り心地が素晴らしい。
furniture-10000405,オータム-優雅なキャビネット
furniture-20000405,シンプルだけど引き締まったデザイン。お菓子作りの材料や盛り付け用の食器をしまっておくのにぴったり。
furniture-10000406,オータム-フルーツバスケット
furniture-20000406,摘みたての秋の果物と麦わら帽子。帽子は誰が置いたのか分からないけれど、花の香りがかすかに残っている。
furniture-10000407,オータム-チョコレートタイル
furniture-20000407,「ほんとにチョコの匂いがする！」と、あのFNCもおすすめしている。
furniture-10000408,オータム-ふかふかソファ
furniture-20000408,大きな赤のソファ。横になると起き上がりたくなくなる。もう一日中寝そべっていたい。
furniture-10000409,オータム-ティーテーブル
furniture-20000409,素敵なアフタヌーンティーの時間はいつも、スプリングフィールドやm45の作ったスイーツに始まる。しかし、食べ過ぎにはご注意を。虫歯は労災保険の適用外なので。
furniture-10000410,オータム-ひまわりの花瓶
furniture-20000410,シルクフラワーのひまわりと陶器の花瓶。本物の花に見劣りしないし、なにより扱いやすいのが特徴。
furniture-10000411,オータム-もみじの壁紙
furniture-20000411,秋を迎えるためにグリフィン本部が特注した壁紙。好評だったため、値上げも考えているらしい。
furniture-10000412,オータム-水墨画の掛絵
furniture-20000412,何を描いているのかさっぱり分からない、らくがき同然の絵だが、とある空挺兵は後期近代芸術だと強く主張していた。
furniture-10000413,オータム-ウサギのぬいぐるみ
furniture-20000413,柔らかくて可愛いぬいぐるみ。褐色の毛色が初秋の野兎を彷彿とさせる。赤色のスカーフはFALの貂のものと同じらしい。
furniture-10000414,オータム-物置きラック
furniture-20000414,シリーズ本が全巻と、加えてちょっとした彫刻、謎の小箱が置かれてある壁掛け式ラック。
furniture-10000415,オータム-散らばったラック
furniture-20000415,適当に本を並べておけば、持ち主がいくらか賢く見える壁掛け式ラック。
furniture-10000416,オータム-秋景色の窓
furniture-20000416,実際の秋景色を超高画質で撮影した動画。24時間再生も可能で、みかんは頑張った指揮官への補給物資。
furniture-10000501,新世界(II)-チェックタイル
furniture-20000501,二色のタイルが交錯した最も典型的なデザイン。ただし、頻繁に掃除が必要となる。
furniture-10000502,新世界(II)-色褪せた壁紙
furniture-20000502,少し褪せた色が、前世紀60年代の黄金時代を思い出させる。
furniture-10000503,新世界(II)-折りたたみベッド
furniture-20000503,野戦病院からもらってきたベッド。ダンボール箱のベッドよりもずっと快適らしい。セットの国防色の毛布で暖も取れる。
furniture-10000504,新世界(II)-回転スツール
furniture-20000504,もとはどこかのファストフード・チェーン店のものらしい。回転率を上げるため、わざと快適すぎないようにできている。
furniture-10000505,新世界(II)-ポールハンガー
furniture-20000505,荒廃して落ちぶれた戦後の世界であっても、身だしなみを整えるのは紳士や淑女にとって大事なこと。明日は放射能雨との予報が出たときはなおさら。
furniture-10000506,新世界(II)-ボトルウォーター
furniture-20000506,清潔な飲料水の確保は何よりも大切。キャップをひねった時にカチッと音がすると、心底ホッとする。
furniture-10000507,新世界(II)-引っ越しの荷物
furniture-20000507,たびたび引っ越す前線基地では、梱包済みのダンボール箱とはいやでも仲良くなる。
furniture-10000508,新世界(II)-スチームヒーター
furniture-20000508,基地では廃熱を利用した暖房が普及しているが、この精巧な金属製品はインテリアとしての価値を認められ、今も残されている。
furniture-10000509,新世界(II)-セーフティボックス
furniture-20000509,誰も暗証番号を知らないがため、長年閉ざされている大きな箱。仕方なく椅子として使っているが、中身が核弾頭でないことを祈る。
furniture-10000510,新世界(II)-スチールテーブル
furniture-20000510,ファストフード・チェーン店のテーブル。各種調味料のほか、12年前の古すぎる雑誌が置かれているのは、誰の趣味なんだろうか。
furniture-10000511,新世界(II)-ポスター
furniture-20000511,終戦後はカレンダーも作られなくなったし、もちろん熱々のホットドッグも買えなくなった。
furniture-10000512,新世界(II)-壁掛け時計
furniture-20000512,いや、サルバドール・ダリの作品でも何でもなく、誰かのいたずらで針が曲がっているだけだよ。
furniture-10000513,新世界(II)-換気扇
furniture-20000513,換気扇は空気を循環させてくれるほかに、静かすぎるときのBGMにもなり得る。
furniture-10000514,新世界(II)-ウォールライト
furniture-20000514,一回引っ張ると点灯し、もう一回引っ張ると更に明るくなり、力いっぱい引っ張るとひもがちぎれ、二度と消せなくなる。
furniture-10000515,新世界(II)-窓
furniture-20000515,本部に不審者が入り込む心配はそれほどないが、木の板で窓を塞ぐのは、この末世でも行われる伝統儀式となっている。
furniture-10000601,ロフト-ウッドフロア
furniture-20000601,塗装を施していない原木のままの床。温かい肌触りに、ありのままの風合いを楽しめるのが魅力だが、手入れが大変。
furniture-10000602,ロフト-ホワイトタイル
furniture-20000602,多くのロフトはもとが工廠の作業場で、壁が一面の白磁タイルである。これをそのまま残すことによっていい味が出る。
furniture-10000603,ロフト-ソフトベッド
furniture-20000603,いつの時代も芸術家はぐうたらするのが好きだ。そんな彼らにとって、柔らかいベッドは最高の友になり得る。
furniture-10000604,ロフト-イームズチェア(左)
furniture-20000604,世界で最初に大量生産された椅子。その精巧な構造は、マシンガンの戦術人形たちの体重にも耐えうる。
furniture-10000605,ロフト-イームズチェア(右)
furniture-20000605,世界で最初に大量生産された椅子。その精巧な構造は、マシンガンの戦術人形たちの体重にも耐えうる。
furniture-10000606,ロフト-古い自転車
furniture-20000606,第一次世界大戦時、偵察兵たちはライフルを車台のすき間に挿していたという。後世の主婦たちがそこにフランスパンを挿していたように。
furniture-10000607,ロフト-電気スタンド付きラック
furniture-20000607,外では銃弾が飛び交っていようとも、屋内では電気スタンドの温かい明かりが灯り、ラックには古いデザイン雑誌が隙間なく詰まっている。なんと幸せなことか。
furniture-10000608,ロフト-牛柄ラグ
furniture-20000608,贅沢の真髄は無駄遣いにある。乳牛をラグにしてしまうなんて、これ以上の無駄遣いがあろうか。
furniture-10000609,ロフト-ブックシェルフ
furniture-20000609,中にどんな本を入れるかはどうでもいい。とりあえずタイトルが読めない外国語のものならなんでもいいんだ。
furniture-10000610,ロフト-イームズソファ
furniture-20000610,真っ白のソファなんて、家事に従事する者にとっては災難でしかないが、芸術家たちは聞き入れてくれないようだ。
furniture-10000611,ロフト-メタルステア
furniture-20000611,階段がなければ真のロフトとは言えないが、上に上がれば気付くだろう。これがただでかいだけの飾り物だと。
furniture-10000612,ロフト-ジュラルミンテーブル
furniture-20000612,箱をテーブルにしたがる、グリフィンの栄えある伝統を継承しているうえ、芸術家たちが最も好むエスプレッソまで付いてある。
